iter, x, y, z
10000 0.0 0.0 9.955886769118004
20000 0.0 0.0 9.823573539118021
30000 0.0 0.0 9.603060309118055
40000 0.0 0.0 9.294347079118111
50000 0.0 0.0 8.897433849118139
60000 0.0 0.0 8.412320619117802
70000 0.0 0.0 7.839007389117032
80000 0.0 0.0 7.17749415911584
90000 0.0 0.0 6.4277809291142205
100000 0.0 0.0 5.589867699112173
110000 0.0 0.0 4.6637544691096995
120000 0.0 0.0 3.6494412391067983
130000 0.0 0.0 2.5469280091034707
140000 0.0 0.0 1.3562147790997163
150000 0.0 0.0 1.4257211306621043
160000 0.0 0.0 2.470511751898626
170000 0.0 0.0 3.4075023731348235
180000 0.0 0.0 4.2366929943706975
190000 0.0 0.0 4.958083615606245
200000 0.0 0.0 5.571674236841469
210000 0.0 0.0 6.07746485807637
220000 0.0 0.0 6.475455479311004
230000 0.0 0.0 6.765646100545709
240000 0.0 0.0 6.948036721780481
250000 0.0 0.0 7.022627343015194
260000 0.0 0.0 6.995816823289913
270000 0.0 0.0 6.880445224524644
280000 0.0 0.0 6.676873625759395
290000 0.0 0.0 6.385102026994162
300000 0.0 0.0 6.00513042822893
310000 0.0 0.0 5.536958829463387
320000 0.0 0.0 4.98058723069742
330000 0.0 0.0 4.336015631931025
340000 0.0 0.0 3.603244033164202
350000 0.0 0.0 2.7822724343969534
360000 0.0 0.0 1.8731008356292775
370000 0.0 0.0 0.9030245055324919
380000 0.0 0.0 1.6991670858256882
390000 0.0 0.0 2.4930505099962184
400000 0.0 0.0 3.179133934166424
410000 0.0 0.0 3.7574173583363057
420000 0.0 0.0 4.227900782505858
430000 0.0 0.0 4.590584206675253
440000 0.0 0.0 4.845467630844759
450000 0.0 0.0 4.992551055014277
460000 0.0 0.0 5.03201454242376
470000 0.0 0.0 4.975954746593246
480000 0.0 0.0 4.831694950762747
490000 0.0 0.0 4.599235154932266
500000 0.0 0.0 4.278575359101803
510000 0.0 0.0 3.869715563271276
520000 0.0 0.0 3.3726557674403583
530000 0.0 0.0 2.7873959716090138
540000 0.0 0.0 2.1139361757772424
550000 0.0 0.0 1.3522763799450441
560000 0.0 0.0 1.1783860071723895
570000 0.0 0.0 1.8617430625036884
580000 0.0 0.0 2.437300117834664
590000 0.0 0.0 2.9050571731653143
600000 0.0 0.0 3.265014228495808
610000 0.0 0.0 3.5171712838264195
620000 0.0 0.0 3.661528339157034
630000 0.0 0.0 3.6983389471436183
640000 0.0 0.0 3.6400486624742046
650000 0.0 0.0 3.493558377804808
660000 0.0 0.0 3.2588680931354284
670000 0.0 0.0 2.9359778084660664
680000 0.0 0.0 2.524887523796634
690000 0.0 0.0 2.0255972391268062
700000 0.0 0.0 1.4381069544565521
710000 0.0 0.0 1.0009199346358146
720000 0.0 0.0 1.5710163517143163
730000 0.0 0.0 2.033312768792491
